full_state_name,Earthquake,Wild_Fire,Radiological_Attack,Hurricane,Flood,latitude,longitude
Alabama,4,2,2,32,12,32.806671,-86.79113
Alaska,6,1,1,1,2,61.370716,-152.404419
Arizona,36,23,3,32,29,33.729759,-111.431221
Arkansas,1,1,0,4,9,34.969704,-92.373123
California,290,182,30,42,91,36.116203,-119.681564
Colorado,6,9,2,2,12,39.059811,-105.311104
Connecticut,5,1,1,14,2,41.597782,-72.755371
Delaware,1,1,0,2,2,39.318523,-75.507141
Florida,52,31,7,335,88,27.766279,-81.686783
Georgia,11,2,0,25,21,33.040619,-83.643074
Hawaii,15,4,0,22,16,21.094318,-157.498337
Idaho,1,2,0,0,3,44.240459,-114.478828
Illinois,16,5,3,10,33,40.349457,-88.986137
Indiana,6,1,4,5,11,39.849426,-86.258278
Iowa,0,2,0,3,7,42.011539,-93.210526
Kansas,3,5,1,2,9,38.5266,-96.726486
Kentucky,1,3,0,5,15,37.66814,-84.670067
Louisiana,6,5,5,50,34,31.169546,-91.867805
Maine,2,0,0,4,6,44.693947,-69.381927
Maryland,10,1,3,13,10,39.063946,-76.802101
Massachusetts,10,0,1,14,5,42.230171,-71.530106
Michigan,6,1,1,2,12,43.326618,-84.536095
Minnesota,2,0,0,0,7,45.694454,-93.900192
Mississippi,3,0,0,13,5,32.741646,-89.678696
Missouri,7,1,0,1,16,38.456085,-92.288368
Montana,0,1,0,0,2,46.921925,-110.454353
Nebraska,0,0,0,2,5,41.12537,-98.268082
Nevada,6,4,0,3,3,38.313515,-117.055374
New Hampshire,1,0,0,1,2,43.452492,-71.563896
New Jersey,13,8,9,49,29,40.298904,-74.521011
New Mexico,4,4,0,4,4,34.840515,-106.248482
New York,62,22,19,96,78,42.165726,-74.948051
North Carolina,6,5,2,50,20,35.630066,-79.806419
North Dakota,0,0,1,0,2,47.528912,-99.784012
Ohio,5,3,3,8,16,40.388783,-82.764915
Oklahoma,5,2,0,1,6,35.565342,-96.928917
Oregon,36,65,3,9,22,44.572021,-122.070938
Pennsylvania,13,6,7,21,23,40.590752,-77.209755
Puerto Rico,25,2,0,46,9,18.220833,-66.590149
Rhode Island,2,0,0,5,3,41.680893,-71.51178
South Carolina,2,3,1,20,14,33.856892,-80.945007
South Dakota,0,1,0,0,2,44.299782,-99.438828
Tennessee,3,5,0,4,16,35.747845,-86.692345
Texas,35,22,10,144,112,31.054487,-97.563461
U.S. Virgin Islands,1,0,0,1,0,18.335765,-64.896335
Utah,14,6,0,0,3,40.150032,-111.862434
Vermont,0,0,0,1,0,44.045876,-72.710686
Virginia,12,3,2,25,11,37.769337,-78.169968
Washington,84,51,4,25,43,47.400902,-121.490494
"Washington, D.C.",1,0,3,0,0,38.897438,-77.026817
West Virginia,1,2,0,1,7,38.491226,-80.954455
Wisconsin,4,2,0,1,6,44.268543,-89.616508
Wyoming,0,0,0,0,0,42.755966,-107.30249
